id	batch	condition	fastq1	fastq2	
UPI_T2DSyst_170	UPI	ND_T2D	UPI_T2DSyst_170_clean_R1.fq.gz	UPI_T2DSyst_170_clean_R2.fq.gz	
UPI_T2DSyst_173	UPI	ND_T2D	UPI_T2DSyst_173_clean_R1.fq.gz	UPI_T2DSyst_173_clean_R2.fq.gz	
UPI_T2DSyst_175	UPI	ND_T2D	UPI_T2DSyst_175_clean_R1.fq.gz	UPI_T2DSyst_175_clean_R2.fq.gz	
UPI_T2DSyst_176	UPI	ND_T2D	UPI_T2DSyst_176_clean_R1.fq.gz	UPI_T2DSyst_176_clean_R2.fq.gz	
UPI_T2DSyst_184	UPI	ND_T2D	UPI_T2DSyst_184_clean_R1.fq.gz	UPI_T2DSyst_184_clean_R2.fq.gz	
UPI_T2DSyst_186	UPI	ND_T2D	UPI_T2DSyst_186_clean_R1.fq.gz	UPI_T2DSyst_186_clean_R2.fq.gz	
UPI_T2DSyst_187	UPI	ND_T2D	UPI_T2DSyst_187_clean_R1.fq.gz	UPI_T2DSyst_187_clean_R2.fq.gz	
UPI_T2DSyst_188	UPI	ND_T2D	UPI_T2DSyst_188_clean_R1.fq.gz	UPI_T2DSyst_188_clean_R2.fq.gz	
UPI_T2DSyst_189	UPI	ND_T2D	UPI_T2DSyst_189_clean_R1.fq.gz	UPI_T2DSyst_189_clean_R2.fq.gz	
UPI_T2DSyst_190	UPI	ND_T2D	UPI_T2DSyst_190_clean_R1.fq.gz	UPI_T2DSyst_190_clean_R2.fq.gz	
UPI_T2DSyst_191	UPI	ND_T2D	UPI_T2DSyst_191_clean_R1.fq.gz	UPI_T2DSyst_191_clean_R2.fq.gz	
UPI_T2DSyst_192	UPI	ND_T2D	UPI_T2DSyst_192_clean_R1.fq.gz	UPI_T2DSyst_192_clean_R2.fq.gz	
UPI_T2DSyst_193	UPI	ND_T2D	UPI_T2DSyst_193_clean_R1.fq.gz	UPI_T2DSyst_193_clean_R2.fq.gz	
UPI_T2DSyst_195	UPI	ND_T2D	UPI_T2DSyst_195_clean_R1.fq.gz	UPI_T2DSyst_195_clean_R2.fq.gz	
UPI_T2DSyst_196	UPI	ND_T2D	UPI_T2DSyst_196_clean_R1.fq.gz	UPI_T2DSyst_196_clean_R2.fq.gz	
UPI_T2DSyst_197	UPI	ND_T2D	UPI_T2DSyst_197_clean_R1.fq.gz	UPI_T2DSyst_197_clean_R2.fq.gz	
UPI_T2DSyst_198	UPI	ND_T2D	UPI_T2DSyst_198_clean_R1.fq.gz	UPI_T2DSyst_198_clean_R2.fq.gz	
UPI_T2DSyst_201	UPI	ND_T2D	UPI_T2DSyst_201_clean_R1.fq.gz	UPI_T2DSyst_201_clean_R2.fq.gz	
UPI_T2DSyst_204	UPI	ND_T2D	UPI_T2DSyst_204_clean_R1.fq.gz	UPI_T2DSyst_204_clean_R2.fq.gz	
UPI_T2DSyst_205	UPI	ND_T2D	UPI_T2DSyst_205_clean_R1.fq.gz	UPI_T2DSyst_205_clean_R2.fq.gz	
UPI_T2DSyst_206	UPI	ND_T2D	UPI_T2DSyst_206_clean_R1.fq.gz	UPI_T2DSyst_206_clean_R2.fq.gz	
UPI_T2DSyst_212	UPI	ND_T2D	UPI_T2DSyst_212_clean_R1.fq.gz	UPI_T2DSyst_212_clean_R2.fq.gz	
UPI_T2DSyst_214	UPI	ND_T2D	UPI_T2DSyst_214_clean_R1.fq.gz	UPI_T2DSyst_214_clean_R2.fq.gz	
UPI_T2DSyst_215	UPI	ND_T2D	UPI_T2DSyst_215_clean_R1.fq.gz	UPI_T2DSyst_215_clean_R2.fq.gz	
UPI_T2DSyst_218	UPI	ND_T2D	UPI_T2DSyst_218_clean_R1.fq.gz	UPI_T2DSyst_218_clean_R2.fq.gz	
UPI_T2DSyst_220	UPI	ND_T2D	UPI_T2DSyst_220_clean_R1.fq.gz	UPI_T2DSyst_220_clean_R2.fq.gz	
UPI_T2DSyst_221	UPI	ND_T2D	UPI_T2DSyst_221_clean_R1.fq.gz	UPI_T2DSyst_221_clean_R2.fq.gz	
UPI_T2DSyst_225	UPI	ND_T2D	UPI_T2DSyst_225_clean_R1.fq.gz	UPI_T2DSyst_225_clean_R2.fq.gz	
UPI_T2DSyst_229	UPI	ND_T2D	UPI_T2DSyst_229_clean_R1.fq.gz	UPI_T2DSyst_229_clean_R2.fq.gz	
UPI_T2DSyst_231	UPI	ND_T2D	UPI_T2DSyst_231_clean_R1.fq.gz	UPI_T2DSyst_231_clean_R2.fq.gz	
UPI_T2DSyst_234	UPI	ND_T2D	UPI_T2DSyst_234_clean_R1.fq.gz	UPI_T2DSyst_234_clean_R2.fq.gz	
UPI_T2DSyst_236	UPI	ND_T2D	UPI_T2DSyst_236_clean_R1.fq.gz	UPI_T2DSyst_236_clean_R2.fq.gz	
UPI_T2DSyst_238	UPI	ND_T2D	UPI_T2DSyst_238_clean_R1.fq.gz	UPI_T2DSyst_238_clean_R2.fq.gz	
UPI_T2DSyst_239	UPI	ND_T2D	UPI_T2DSyst_239_clean_R1.fq.gz	UPI_T2DSyst_239_clean_R2.fq.gz	
UPI_T2DSyst_242	UPI	ND_T2D	UPI_T2DSyst_242_clean_R1.fq.gz	UPI_T2DSyst_242_clean_R2.fq.gz	
UPI_T2DSyst_243	UPI	ND_T2D	UPI_T2DSyst_243_clean_R1.fq.gz	UPI_T2DSyst_243_clean_R2.fq.gz	
UPI_T2DSyst_245	UPI	ND_T2D	UPI_T2DSyst_245_clean_R1.fq.gz	UPI_T2DSyst_245_clean_R2.fq.gz	
UPI_T2DSyst_247	UPI	ND_T2D	UPI_T2DSyst_247_clean_R1.fq.gz	UPI_T2DSyst_247_clean_R2.fq.gz	
UPI_T2DSyst_248	UPI	ND_T2D	UPI_T2DSyst_248_clean_R1.fq.gz	UPI_T2DSyst_248_clean_R2.fq.gz	
UPI_T2DSyst_249	UPI	ND_T2D	UPI_T2DSyst_249_clean_R1.fq.gz	UPI_T2DSyst_249_clean_R2.fq.gz	
UPI_T2DSyst_250	UPI	ND_T2D	UPI_T2DSyst_250_clean_R1.fq.gz	UPI_T2DSyst_250_clean_R2.fq.gz	
UPI_T2DSyst_251	UPI	ND_T2D	UPI_T2DSyst_251_clean_R1.fq.gz	UPI_T2DSyst_251_clean_R2.fq.gz	
UPI_T2DSyst_253	UPI	ND_T2D	UPI_T2DSyst_253_clean_R1.fq.gz	UPI_T2DSyst_253_clean_R2.fq.gz	
UPI_T2DSyst_257	UPI	ND_T2D	UPI_T2DSyst_257_clean_R1.fq.gz	UPI_T2DSyst_257_clean_R2.fq.gz	
UPI_T2DSyst_258	UPI	ND_T2D	UPI_T2DSyst_258_clean_R1.fq.gz	UPI_T2DSyst_258_clean_R2.fq.gz	
UPI_T2DSyst_259	UPI	ND_T2D	UPI_T2DSyst_259_clean_R1.fq.gz	UPI_T2DSyst_259_clean_R2.fq.gz	
UPI_T2DSyst_261	UPI	ND_T2D	UPI_T2DSyst_261_clean_R1.fq.gz	UPI_T2DSyst_261_clean_R2.fq.gz	
UPI_T2DSyst_264	UPI	ND_T2D	UPI_T2DSyst_264_clean_R1.fq.gz	UPI_T2DSyst_264_clean_R2.fq.gz	
UPI_T2DSyst_267	UPI	ND_T2D	UPI_T2DSyst_267_clean_R1.fq.gz	UPI_T2DSyst_267_clean_R2.fq.gz	
UPI_T2DSyst_269	UPI	ND_T2D	UPI_T2DSyst_269_clean_R1.fq.gz	UPI_T2DSyst_269_clean_R2.fq.gz	
UPI_T2DSyst_272	UPI	ND_T2D	UPI_T2DSyst_272_clean_R1.fq.gz	UPI_T2DSyst_272_clean_R2.fq.gz	
UPI_T2DSyst_273	UPI	ND_T2D	UPI_T2DSyst_273_clean_R1.fq.gz	UPI_T2DSyst_273_clean_R2.fq.gz	
UPI_T2DSyst_274	UPI	ND_T2D	UPI_T2DSyst_274_clean_R1.fq.gz	UPI_T2DSyst_274_clean_R2.fq.gz	
UPI_T2DSyst_275	UPI	ND_T2D	UPI_T2DSyst_275_clean_R1.fq.gz	UPI_T2DSyst_275_clean_R2.fq.gz	
UPI_T2DSyst_279	UPI	ND_T2D	UPI_T2DSyst_279_clean_R1.fq.gz	UPI_T2DSyst_279_clean_R2.fq.gz	
UPI_T2DSyst_280	UPI	ND_T2D	UPI_T2DSyst_280_clean_R1.fq.gz	UPI_T2DSyst_280_clean_R2.fq.gz	
UPI_T2DSyst_282	UPI	ND_T2D	UPI_T2DSyst_282_clean_R1.fq.gz	UPI_T2DSyst_282_clean_R2.fq.gz	
UPI_T2DSyst_284	UPI	ND_T2D	UPI_T2DSyst_284_clean_R1.fq.gz	UPI_T2DSyst_284_clean_R2.fq.gz	
GSM1216753	LUND	ND_T2D	GSM1216753_clean_R1.fastq.gz	GSM1216753_clean_R2.fastq.gz	
GSM1216755	LUND	ND_T2D	GSM1216755_clean_R1.fastq.gz	GSM1216755_clean_R2.fastq.gz	
GSM1216758	LUND	ND_T2D	GSM1216758_clean_R1.fastq.gz	GSM1216758_clean_R2.fastq.gz	
GSM1216760	LUND	ND_T2D	GSM1216760_clean_R1.fastq.gz	GSM1216760_clean_R2.fastq.gz	
GSM1216765	LUND	ND_T2D	GSM1216765_clean_R1.fastq.gz	GSM1216765_clean_R2.fastq.gz	
GSM1216766	LUND	ND_T2D	GSM1216766_clean_R1.fastq.gz	GSM1216766_clean_R2.fastq.gz	
GSM1216767	LUND	ND_T2D	GSM1216767_clean_R1.fastq.gz	GSM1216767_clean_R2.fastq.gz	
GSM1216768	LUND	ND_T2D	GSM1216768_clean_R1.fastq.gz	GSM1216768_clean_R2.fastq.gz	
GSM1216770	LUND	ND_T2D	GSM1216770_clean_R1.fastq.gz	GSM1216770_clean_R2.fastq.gz	
GSM1216771	LUND	ND_T2D	GSM1216771_clean_R1.fastq.gz	GSM1216771_clean_R2.fastq.gz	
GSM1216773	LUND	ND_T2D	GSM1216773_clean_R1.fastq.gz	GSM1216773_clean_R2.fastq.gz	
GSM1216775	LUND	ND_T2D	GSM1216775_clean_R1.fastq.gz	GSM1216775_clean_R2.fastq.gz	
GSM1216776	LUND	ND_T2D	GSM1216776_clean_R1.fastq.gz	GSM1216776_clean_R2.fastq.gz	
GSM1216778	LUND	ND_T2D	GSM1216778_clean_R1.fastq.gz	GSM1216778_clean_R2.fastq.gz	
GSM1216780	LUND	ND_T2D	GSM1216780_clean_R1.fastq.gz	GSM1216780_clean_R2.fastq.gz	
GSM1216782	LUND	ND_T2D	GSM1216782_clean_R1.fastq.gz	GSM1216782_clean_R2.fastq.gz	
GSM1216783	LUND	ND_T2D	GSM1216783_clean_R1.fastq.gz	GSM1216783_clean_R2.fastq.gz	
GSM1216785	LUND	ND_T2D	GSM1216785_clean_R1.fastq.gz	GSM1216785_clean_R2.fastq.gz	
GSM1216786	LUND	ND_T2D	GSM1216786_clean_R1.fastq.gz	GSM1216786_clean_R2.fastq.gz	
GSM1216788	LUND	ND_T2D	GSM1216788_clean_R1.fastq.gz	GSM1216788_clean_R2.fastq.gz	
GSM1216789	LUND	ND_T2D	GSM1216789_clean_R1.fastq.gz	GSM1216789_clean_R2.fastq.gz	
GSM1216791	LUND	ND_T2D	GSM1216791_clean_R1.fastq.gz	GSM1216791_clean_R2.fastq.gz	
GSM1216792	LUND	ND_T2D	GSM1216792_clean_R1.fastq.gz	GSM1216792_clean_R2.fastq.gz	
GSM1216796	LUND	ND_T2D	GSM1216796_clean_R1.fastq.gz	GSM1216796_clean_R2.fastq.gz	
GSM1216797	LUND	ND_T2D	GSM1216797_clean_R1.fastq.gz	GSM1216797_clean_R2.fastq.gz	
GSM1216799	LUND	ND_T2D	GSM1216799_clean_R1.fastq.gz	GSM1216799_clean_R2.fastq.gz	
GSM1216802	LUND	ND_T2D	GSM1216802_clean_R1.fastq.gz	GSM1216802_clean_R2.fastq.gz	
GSM1216804	LUND	ND_T2D	GSM1216804_clean_R1.fastq.gz	GSM1216804_clean_R2.fastq.gz	
GSM1216809	LUND	ND_T2D	GSM1216809_clean_R1.fastq.gz	GSM1216809_clean_R2.fastq.gz	
